nominees,details,award_show,year,award,winner,ref_year
Bonanno: A Godfather's Story,,Satellite,2000,Best Miniseries,0,21
Joan of Arc,,Satellite,2000,Best Miniseries,0,21
P.T. Barnum,,Satellite,2000,Best Miniseries,0,21
Purgatory,,Satellite,2000,Best Miniseries,0,21
Strange Justice,,Satellite,2000,Best Motion Picture Made for Television,1,21
A Lesson Before Dying,,Satellite,2000,Best Motion Picture Made for Television,0,21
A Slight Case of Murder,,Satellite,2000,Best Motion Picture Made for Television,0,21
Introducing Dorothy Dandridge,,Satellite,2000,Best Motion Picture Made for Television,0,21
RKO 281,,Satellite,2000,Best Motion Picture Made for Television,0,21
Toy Story 2,,Satellite,2000,"Best Motion Picture, Animated or Mixed Media",1,21
Princess Mononoke,,Satellite,2000,"Best Motion Picture, Animated or Mixed Media",0,21
"South Park: Bigger, Longer & Uncut",,Satellite,2000,"Best Motion Picture, Animated or Mixed Media",0,21
Stuart Little,,Satellite,2000,"Best Motion Picture, Animated or Mixed Media",0,21
Tarzan,,Satellite,2000,"Best Motion Picture, Animated or Mixed Media",0,21
The Iron Giant,,Satellite,2000,"Best Motion Picture, Animated or Mixed Media",0,21
Being John Malkovich,,Satellite,2000,"Best Motion Picture, Comedy or Musical",1,21
An Ideal Husband,,Satellite,2000,"Best Motion Picture, Comedy or Musical",0,21
Bowfinger,,Satellite,2000,"Best Motion Picture, Comedy or Musical",0,21
Dick,,Satellite,2000,"Best Motion Picture, Comedy or Musical",0,21
Election,,Satellite,2000,"Best Motion Picture, Comedy or Musical",0,21
Notting Hill,,Satellite,2000,"Best Motion Picture, Comedy or Musical",0,21
Buena Vista Social Club,,Satellite,2000,"Best Motion Picture, Documentary",1,21
42 Up,,Satellite,2000,"Best Motion Picture, Documentary",0,21
American Movie,,Satellite,2000,"Best Motion Picture, Documentary",0,21
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",,Satellite,2000,"Best Motion Picture, Documentary",0,21
Return with Honor,,Satellite,2000,"Best Motion Picture, Documentary",0,21
The Source: The Story of the Beats and the Beat Generation,,Satellite,2000,"Best Motion Picture, Documentary",0,21
The Insider,,Satellite,2000,"Best Motion Picture, Drama",1,21
American Beauty,,Satellite,2000,"Best Motion Picture, Drama",0,21
Boys Don't Cry,,Satellite,2000,"Best Motion Picture, Drama",0,21
Magnolia,,Satellite,2000,"Best Motion Picture, Drama",0,21
Snow Falling on Cedars,,Satellite,2000,"Best Motion Picture, Drama",0,21
The Talented Mr. Ripley,,Satellite,2000,"Best Motion Picture, Drama",0,21
All About My Mother,,Satellite,2000,"Best Motion Picture, Foreign Language",1,21
Three Seasons,,Satellite,2000,"Best Motion Picture, Foreign Language",0,21
Run Lola Run,,Satellite,2000,"Best Motion Picture, Foreign Language",0,21
The Emperor and the Assassin,,Satellite,2000,"Best Motion Picture, Foreign Language",0,21
The King of Masks,,Satellite,2000,"Best Motion Picture, Foreign Language",0,21
The Red Violin,,Satellite,2000,"Best Motion Picture, Foreign Language",0,21
Sleepy Hollow,Danny Elfman,Satellite,2000,Best Original Score,1,21
Ravenous,"Damon Albarn, Michael Nyman",Satellite,2000,Best Original Score,0,21
Snow Falling on Cedars,James Newton Howard,Satellite,2000,Best Original Score,0,21
The Legend of 1900,Ennio Morricone,Satellite,2000,Best Original Score,0,21
The Red Violin,John Corigliano,Satellite,2000,Best Original Score,0,21
The Thomas Crown Affair,Bill Conti,Satellite,2000,Best Original Score,0,21
Toy Story 2,,Satellite,2000,Best Original Song,1,21
Dogma,,Satellite,2000,Best Original Song,0,21
Magnolia,,Satellite,2000,Best Original Song,0,21
"South Park: Bigger, Longer & Uncut",,Satellite,2000,Best Original Song,0,21
The Story of Us,,Satellite,2000,Best Original Song,0,21
The World Is Not Enough,,Satellite,2000,Best Original Song,0,21
William H. Macy,A Slight Case of Murder,Satellite,2000,Best Performance by an Actor in a Miniseries or a Motion Picture Made for Television,1,21
Beau Bridges,P.T. Barnum,Satellite,2000,Best Performance by an Actor in a Miniseries or a Motion Picture Made for Television,0,21
Brent Spiner,Introducing Dorothy Dandridge,Satellite,2000,Best Performance by an Actor in a Miniseries or a Motion Picture Made for Television,0,21
Delroy Lindo,Strange Justice,Satellite,2000,Best Performance by an Actor in a Miniseries or a Motion Picture Made for Television,0,21
Don Cheadle,A Lesson Before Dying,Satellite,2000,Best Performance by an Actor in a Miniseries or a Motion Picture Made for Television,0,21
Philip Seymour Hoffman,Flawless,Satellite,2000,"Best Performance by an Actor in a Motion Picture, Comedy or Musical",1,21
Jim Carrey,Man on the Moon,Satellite,2000,"Best Performance by an Actor in a Motion Picture, Comedy or Musical",0,21
Johnny Depp,Sleepy Hollow,Satellite,2000,"Best Performance by an Actor in a Motion Picture, Comedy or Musical",0,21
Rupert Everett,An Ideal Husband,Satellite,2000,"Best Performance by an Actor in a Motion Picture, Comedy or Musical",0,21
Sean Penn,Sweet and Lowdown,Satellite,2000,"Best Performance by an Actor in a Motion Picture, Comedy or Musical",0,21
Steve Zahn,"Happy, Texas",Satellite,2000,"Best Performance by an Actor in a Motion Picture, Comedy or Musical",0,21
Terence Stamp,The Limey,Satellite,2000,"Best Performance by an Actor in a Motion Picture, Drama",1,21
Al Pacino,The Insider,Satellite,2000,"Best Performance by an Actor in a Motion Picture, Drama",0,21
Denzel Washington,The Hurricane,Satellite,2000,"Best Performance by an Actor in a Motion Picture, Drama",0,21
Kevin Spacey,American Beauty,Satellite,2000,"Best Performance by an Actor in a Motion Picture, Drama",0,21
Richard Farnsworth,The Straight Story,Satellite,2000,"Best Performance by an Actor in a Motion Picture, Drama",0,21
Russell Crowe,The Insider,Satellite,2000,"Best Performance by an Actor in a Motion Picture, Drama",0,21
Jay Mohr,Action,Satellite,2000,"Best Performance by an Actor in a Series, Comedy or Musical",1,21
David Hyde Pierce,Frasier,Satellite,2000,"Best Performance by an Actor in a Series, Comedy or Musical",0,21
Eric McCormack,Will & Grace,Satellite,2000,"Best Performance by an Actor in a Series, Comedy or Musical",0,21
Ted Danson,Becker,Satellite,2000,"Best Performance by an Actor in a Series, Comedy or Musical",0,21
Thomas Gibson,Dharma & Greg,Satellite,2000,"Best Performance by an Actor in a Series, Comedy or Musical",0,21
Martin Sheen,The West Wing,Satellite,2000,"Best Performance by an Actor in a Series, Drama",1,21
Dylan McDermott,The Practice,Satellite,2000,"Best Performance by an Actor in a Series, Drama",0,21
Eamonn Walker,Oz,Satellite,2000,"Best Performance by an Actor in a Series, Drama",0,21
James Gandolfini,The Sopranos,Satellite,2000,"Best Performance by an Actor in a Series, Drama",0,21
Sam Waterston,Law & Order,Satellite,2000,"Best Performance by an Actor in a Series, Drama",0,21
William H. Macy,"Happy, Texas",Satellite,2000,"Best Performance by an Actor in a Supporting Role, Comedy or Musical",1,21
Alan Rickman,Dogma,Satellite,2000,"Best Performance by an Actor in a Supporting Role, Comedy or Musical",0,21
Bill Murray,Cradle Will Rock,Satellite,2000,"Best Performance by an Actor in a Supporting Role, Comedy or Musical",0,21
Dan Hedaya,Dick,Satellite,2000,"Best Performance by an Actor in a Supporting Role, Comedy or Musical",0,21
Rhys Ifans,Notting Hill,Satellite,2000,"Best Performance by an Actor in a Supporting Role, Comedy or Musical",0,21
Ving Rhames,Bringing Out the Dead,Satellite,2000,"Best Performance by an Actor in a Supporting Role, Comedy or Musical",0,21
Harry Lennix,Titus,Satellite,2000,"Best Performance by an Actor in a Supporting Role, Drama",1,21
Christopher Plummer,The Insider,Satellite,2000,"Best Performance by an Actor in a Supporting Role, Drama",0,21
Doug Hutchison,The Green Mile,Satellite,2000,"Best Performance by an Actor in a Supporting Role, Drama",0,21
Jude Law,The Talented Mr. Ripley,Satellite,2000,"Best Performance by an Actor in a Supporting Role, Drama",0,21
Michael Caine,The Cider House Rules,Satellite,2000,"Best Performance by an Actor in a Supporting Role, Drama",0,21
Tom Cruise,Magnolia,Satellite,2000,"Best Performance by an Actor in a Supporting Role, Drama",0,21
Linda Hamilton,The Color of Courage,Satellite,2000,Best Performance by an Actress in a Miniseries or a Motion Picture Made for Television,1,21
Halle Berry,Introducing Dorothy Dandridge,Satellite,2000,Best Performance by an Actress in a Miniseries or a Motion Picture Made for Television,0,21
Kathy Bates,Annie,Satellite,2000,Best Performance by an Actress in a Miniseries or a Motion Picture Made for Television,0,21
Leelee Sobieski,Joan of Arc,Satellite,2000,Best Performance by an Actress in a Miniseries or a Motion Picture Made for Television,0,21
Regina Taylor,Strange Justice,Satellite,2000,Best Performance by an Actress in a Miniseries or a Motion Picture Made for Television,0,21
Janet McTeer,Tumbleweeds,Satellite,2000,"Best Performance by an Actress in a Motion Picture, Comedy or Musical",1,21
Cecilia Roth,All About My Mother,Satellite,2000,"Best Performance by an Actress in a Motion Picture, Comedy or Musical",0,21
Frances O'Connor,Mansfield Park,Satellite,2000,"Best Performance by an Actress in a Motion Picture, Comedy or Musical",0,21
Julia Roberts,Notting Hill,Satellite,2000,"Best Performance by an Actress in a Motion Picture, Comedy or Musical",0,21
Julianne Moore,An Ideal Husband,Satellite,2000,"Best Performance by an Actress in a Motion Picture, Comedy or Musical",0,21
Reese Witherspoon,Election,Satellite,2000,"Best Performance by an Actress in a Motion Picture, Comedy or Musical",0,21
Hilary Swank,Boys Don't Cry,Satellite,2000,"Best Performance by an Actress in a Motion Picture, Drama",1,21
Annette Bening,American Beauty,Satellite,2000,"Best Performance by an Actress in a Motion Picture, Drama",0,21
Elaine Cassidy,Felicia's Journey,Satellite,2000,"Best Performance by an Actress in a Motion Picture, Drama",0,21
Nicole Kidman,Eyes Wide Shut,Satellite,2000,"Best Performance by an Actress in a Motion Picture, Drama",0,21
Sigourney Weaver,A Map of the World,Satellite,2000,"Best Performance by an Actress in a Motion Picture, Drama",0,21
Yûki Kudô,Snow Falling on Cedars,Satellite,2000,"Best Performance by an Actress in a Motion Picture, Drama",0,21
Illeana Douglas,Action,Satellite,2000,"Best Performance by an Actress in a Series, Comedy or Musical",1,21
Calista Flockhart,Ally McBeal,Satellite,2000,"Best Performance by an Actress in a Series, Comedy or Musical",0,21
Jane Leeves,Frasier,Satellite,2000,"Best Performance by an Actress in a Series, Comedy or Musical",0,21
Jenna Elfman,Dharma & Greg,Satellite,2000,"Best Performance by an Actress in a Series, Comedy or Musical",0,21
Jennifer Aniston,Friends,Satellite,2000,"Best Performance by an Actress in a Series, Comedy or Musical",0,21
Camryn Manheim,The Practice,Satellite,2000,"Best Performance by an Actress in a Series, Drama",1,21
Edie Falco,The Sopranos,Satellite,2000,"Best Performance by an Actress in a Series, Drama",0,21
Kelli Williams,The Practice,Satellite,2000,"Best Performance by an Actress in a Series, Drama",0,21
Lorraine Bracco,The Sopranos,Satellite,2000,"Best Performance by an Actress in a Series, Drama",0,21
Mariska Hargitay,Law & Order: Special Victims Unit,Satellite,2000,"Best Performance by an Actress in a Series, Drama",0,21
Catherine Keener,Being John Malkovich,Satellite,2000,"Best Performance by an Actress in a Supporting Role, Comedy or Musical",1,21
Antonia San Juan,All About My Mother,Satellite,2000,"Best Performance by an Actress in a Supporting Role, Comedy or Musical",0,21
Cameron Diaz,Being John Malkovich,Satellite,2000,"Best Performance by an Actress in a Supporting Role, Comedy or Musical",0,21
Cate Blanchett,An Ideal Husband,Satellite,2000,"Best Performance by an Actress in a Supporting Role, Comedy or Musical",0,21
Samantha Morton,Sweet and Lowdown,Satellite,2000,"Best Performance by an Actress in a Supporting Role, Comedy or Musical",0,21
Tori Spelling,Trick,Satellite,2000,"Best Performance by an Actress in a Supporting Role, Comedy or Musical",0,21
Chloë Sevigny,Boys Don't Cry,Satellite,2000,"Best Performance by an Actress in a Supporting Role, Drama",1,21
Charlize Theron,The Cider House Rules,Satellite,2000,"Best Performance by an Actress in a Supporting Role, Drama",0,21
Erykah Badu,The Cider House Rules,Satellite,2000,"Best Performance by an Actress in a Supporting Role, Drama",0,21
Jessica Lange,Titus,Satellite,2000,"Best Performance by an Actress in a Supporting Role, Drama",0,21
Sissy Spacek,The Straight Story,Satellite,2000,"Best Performance by an Actress in a Supporting Role, Drama",0,21
Toni Collette,The Sixth Sense,Satellite,2000,"Best Performance by an Actress in a Supporting Role, Drama",0,21
The Cider House Rules,John Irving,Satellite,2000,"Best Screenplay, Adapted",1,21
A Map of the World,"Peter Hedges, Polly Platt",Satellite,2000,"Best Screenplay, Adapted",0,21
Felicia's Journey,Atom Egoyan,Satellite,2000,"Best Screenplay, Adapted",0,21
Onegin,"Peter Ettedgui, Michael Ignatieff",Satellite,2000,"Best Screenplay, Adapted",0,21
The Talented Mr. Ripley,Anthony Minghella,Satellite,2000,"Best Screenplay, Adapted",0,21
Titus,Julie Taymor,Satellite,2000,"Best Screenplay, Adapted",0,21
The Sixth Sense,M. Night Shyamalan,Satellite,2000,"Best Screenplay, Original",1,21
A Walk on the Moon,Pamela Gray,Satellite,2000,"Best Screenplay, Original",0,21
American Beauty,Alan Ball,Satellite,2000,"Best Screenplay, Original",0,21
Being John Malkovich,Charlie Kaufman,Satellite,2000,"Best Screenplay, Original",0,21
Magnolia,Paul Thomas Anderson,Satellite,2000,"Best Screenplay, Original",0,21
Three Kings,"David O. Russell, John Ridley",Satellite,2000,"Best Screenplay, Original",0,21
Sleepy Hollow,"Gary Alper, Skip Lievsay, Frank Morrone",Satellite,2000,Best Sound,1,21
Buena Vista Social Club,"Elmo Weber, Martin Müller, Jerry Boys",Satellite,2000,Best Sound,0,21
Eyes Wide Shut,"Paul Conway, Edward Tise",Satellite,2000,Best Sound,0,21
Star Wars: Episode I - The Phantom Menace,"Tom Bellfort, Matthew Wood",Satellite,2000,Best Sound,0,21
The Emperor and the Assassin,Jing Tao,Satellite,2000,Best Sound,0,21
The Sixth Sense,"Allan Byer, Michael Kirchberger",Satellite,2000,Best Sound,0,21
Action,,Satellite,2000,"Best Television Series, Comedy or Musical",1,21
Becker,,Satellite,2000,"Best Television Series, Comedy or Musical",0,21
Dharma & Greg,,Satellite,2000,"Best Television Series, Comedy or Musical",0,21
Frasier,,Satellite,2000,"Best Television Series, Comedy or Musical",0,21
Sex and the City,,Satellite,2000,"Best Television Series, Comedy or Musical",0,21
The West Wing,,Satellite,2000,"Best Television Series, Drama",1,21
Law & Order,,Satellite,2000,"Best Television Series, Drama",0,21
Oz,,Satellite,2000,"Best Television Series, Drama",0,21
The Practice,,Satellite,2000,"Best Television Series, Drama",0,21
The Sopranos,,Satellite,2000,"Best Television Series, Drama",0,21
Stuart Little,"Jerome Chen, John Dykstra, Henry F. Anderson III, Eric Allard",Satellite,2000,Best Visual Effects,1,21
Sleepy Hollow,"Jim Mitchell, Joss Williams",Satellite,2000,Best Visual Effects,0,21
Star Wars: Episode I - The Phantom Menace,"Peter Hutchinson, John Knox, Judith Weaver, Dennis Muren",Satellite,2000,Best Visual Effects,0,21
The Matrix,"Steve Courtley, Brian Cox, John Gaeta",Satellite,2000,Best Visual Effects,0,21
The Mummy,"John Andrew Berton Jr., Chris Corbould, Mark Freund, Steve Hamilton",Satellite,2000,Best Visual Effects,0,21
Titus,Kyle Cooper,Satellite,2000,Best Visual Effects,0,21
The Walt Disney World Explorer,,Satellite,2000,Best Home Entertainment Product/Kids & Family,1,21
,,Satellite,2000,Best Home Entertainment Product/Kids & Family,0,21
,,Satellite,2000,Best Home Entertainment Product/Kids & Family,0,21
,,Satellite,2000,Best Home Entertainment Product/Kids & Family,0,21
,,Satellite,2000,Best Home Entertainment Product/Kids & Family,0,21
Doom II: Hell on Earth,,Satellite,2000,Best Interactive Product/CD-ROM Game,1,21
"Duke Nukem: Time to Kill, Duke Nukem: Total Meltdown, Duke Nukem 3D",,Satellite,2000,Best Interactive Product/CD-ROM Game,0,21
MechWarrior 3,,Satellite,2000,Best Interactive Product/CD-ROM Game,0,21
Star Wars: Jedi Knight - Dark Forces II,,Satellite,2000,Best Interactive Product/CD-ROM Game,0,21
,,Satellite,2000,Best Interactive Product/CD-ROM Game,0,21
,,Satellite,2000,Best Interactive Product/CD-ROM Industry,1,21
,,Satellite,2000,Best Interactive Product/CD-ROM Industry,0,21
,,Satellite,2000,Best Interactive Product/CD-ROM Industry,0,21
,,Satellite,2000,Best Interactive Product/CD-ROM Industry,0,21
,,Satellite,2000,Outstanding Contribution to Entertainment New Media,1,21
Magnolia,,Satellite,2000,Outstanding Motion Picture Ensemble,1,21
Delroy Lindo,Glory & Honor,Satellite,1999,Best Actor in a Miniseries or a Motion Picture Made for Television,1,22
Cary Elwes,The Pentagon Wars,Satellite,1999,Best Actor in a Miniseries or a Motion Picture Made for Television,0,22
Kevin Pollak,From the Earth to the Moon,Satellite,1999,Best Actor in a Miniseries or a Motion Picture Made for Television,0,22
Laurence Fishburne,Always Outnumbered,Satellite,1999,Best Actor in a Miniseries or a Motion Picture Made for Television,0,22
Patrick Stewart,Moby Dick,Satellite,1999,Best Actor in a Miniseries or a Motion Picture Made for Television,0,22
David Kelly,Waking Ned Devine,Satellite,1999,"Best Actor in a Motion Picture, Comedy or Musical",1,22
Ian Bannen,Waking Ned Devine,Satellite,1999,"Best Actor in a Motion Picture, Comedy or Musical",0,22
Jeff Bridges,The Big Lebowski,Satellite,1999,"Best Actor in a Motion Picture, Comedy or Musical",0,22
Michael Caine,Little Voice,Satellite,1999,"Best Actor in a Motion Picture, Comedy or Musical",0,22
Robin Williams,Patch Adams,Satellite,1999,"Best Actor in a Motion Picture, Comedy or Musical",0,22
Warren Beatty,Bulworth,Satellite,1999,"Best Actor in a Motion Picture, Comedy or Musical",0,22
Edward Norton,American History X,Satellite,1999,"Best Actor in a Motion Picture, Drama",1,22
Brendan Gleeson,The General,Satellite,1999,"Best Actor in a Motion Picture, Drama",0,22
Derek Jacobi,Love Is the Devil: Study for a Portrait of Francis Bacon,Satellite,1999,"Best Actor in a Motion Picture, Drama",0,22
Ian McKellen,Gods and Monsters,Satellite,1999,"Best Actor in a Motion Picture, Drama",0,22
Nick Nolte,Affliction,Satellite,1999,"Best Actor in a Motion Picture, Drama",0,22
Stephen Fry,Wilde,Satellite,1999,"Best Actor in a Motion Picture, Drama",0,22
Drew Carey,The Drew Carey Show,Satellite,1999,"Best Actor in a Series, Comedy or Musical",1,22
John Lithgow,3rd Rock from the Sun,Satellite,1999,"Best Actor in a Series, Comedy or Musical",0,22
Kelsey Grammer,Frasier,Satellite,1999,"Best Actor in a Series, Comedy or Musical",0,22
Michael J. Fox,Spin City,Satellite,1999,"Best Actor in a Series, Comedy or Musical",0,22
Paul Reiser,Mad About You,Satellite,1999,"Best Actor in a Series, Comedy or Musical",0,22
Ernie Hudson,Oz,Satellite,1999,"Best Actor in a Series, Drama",1,22
Dylan McDermott,The Practice,Satellite,1999,"Best Actor in a Series, Drama",0,22
George Clooney,ER,Satellite,1999,"Best Actor in a Series, Drama",0,22
Jimmy Smits,NYPD Blue,Satellite,1999,"Best Actor in a Series, Drama",0,22
Michael T. Weiss,The Pretender,Satellite,1999,"Best Actor in a Series, Drama",0,22
David Clennon,From the Earth to the Moon,Satellite,1999,Best Actor in a Supporting Role in a Miniseries or a Motion Picture Made for Television,1,22
Brian Dennehy,Thanks of a Grateful Nation,Satellite,1999,Best Actor in a Supporting Role in a Miniseries or a Motion Picture Made for Television,0,22
Daniel Williams,Always Outnumbered,Satellite,1999,Best Actor in a Supporting Role in a Miniseries or a Motion Picture Made for Television,0,22
Lance Henriksen,The Day Lincoln Was Shot,Satellite,1999,Best Actor in a Supporting Role in a Miniseries or a Motion Picture Made for Television,0,22
Martin Short,Merlin,Satellite,1999,Best Actor in a Supporting Role in a Miniseries or a Motion Picture Made for Television,0,22
Bill Murray,Rushmore,Satellite,1999,"Best Actor in a Supporting Role in a Motion Picture, Comedy or Musical",1,22
Bill Nighy,Still Crazy,Satellite,1999,"Best Actor in a Supporting Role in a Motion Picture, Comedy or Musical",0,22
Geoffrey Rush,Shakespeare in Love,Satellite,1999,"Best Actor in a Supporting Role in a Motion Picture, Comedy or Musical",0,22
Jeff Daniels,Pleasantville,Satellite,1999,"Best Actor in a Supporting Role in a Motion Picture, Comedy or Musical",0,22
John Goodman,The Big Lebowski,Satellite,1999,"Best Actor in a Supporting Role in a Motion Picture, Comedy or Musical",0,22
Donald Sutherland,Without Limits,Satellite,1999,"Best Actor in a Supporting Role in a Motion Picture, Drama",1,22
Billy Bob Thornton,A Simple Plan,Satellite,1999,"Best Actor in a Supporting Role in a Motion Picture, Drama",0,22
Jason Patric,Your Friends & Neighbors,Satellite,1999,"Best Actor in a Supporting Role in a Motion Picture, Drama",0,22
Robert Duvall,A Civil Action,Satellite,1999,"Best Actor in a Supporting Role in a Motion Picture, Drama",0,22
Tom Sizemore,Saving Private Ryan,Satellite,1999,"Best Actor in a Supporting Role in a Motion Picture, Drama",0,22
Angelina Jolie,Gia,Satellite,1999,Best Actress in a Miniseries or a Motion Picture Made for Television,1,22
Barbara Hershey,The Staircase,Satellite,1999,Best Actress in a Miniseries or a Motion Picture Made for Television,0,22
Jennifer Jason Leigh,Thanks of a Grateful Nation,Satellite,1999,Best Actress in a Miniseries or a Motion Picture Made for Television,0,22
Mia Farrow,Miracle at Midnight,Satellite,1999,Best Actress in a Miniseries or a Motion Picture Made for Television,0,22
Olympia Dukakis,More Tales of the City,Satellite,1999,Best Actress in a Miniseries or a Motion Picture Made for Television,0,22
Christina Ricci,The Opposite of Sex,Satellite,1999,"Best Actress in a Motion Picture, Comedy or Musical",1,22
Gwyneth Paltrow,Shakespeare in Love,Satellite,1999,"Best Actress in a Motion Picture, Comedy or Musical",0,22
Holly Hunter,Living Out Loud,Satellite,1999,"Best Actress in a Motion Picture, Comedy or Musical",0,22
Jane Horrocks,Little Voice,Satellite,1999,"Best Actress in a Motion Picture, Comedy or Musical",0,22
Meg Ryan,You've Got Mail,Satellite,1999,"Best Actress in a Motion Picture, Comedy or Musical",0,22
Cate Blanchett,Elizabeth,Satellite,1999,"Best Actress in a Motion Picture, Drama",1,22
Emily Watson,Hilary and Jackie,Satellite,1999,"Best Actress in a Motion Picture, Drama",0,22
Fernanda Montenegro,Central Station,Satellite,1999,"Best Actress in a Motion Picture, Drama",0,22
Helena Bonham Carter,The Theory of Flight,Satellite,1999,"Best Actress in a Motion Picture, Drama",0,22
Meryl Streep,One True Thing,Satellite,1999,"Best Actress in a Motion Picture, Drama",0,22
Susan Sarandon,Stepmom,Satellite,1999,"Best Actress in a Motion Picture, Drama",0,22
Ellen DeGeneres,Ellen,Satellite,1999,"Best Actress in a Series, Comedy or Musical",1,22
Brooke Shields,Suddenly Susan,Satellite,1999,"Best Actress in a Series, Comedy or Musical",0,22
Calista Flockhart,Ally McBeal,Satellite,1999,"Best Actress in a Series, Comedy or Musical",0,22
Helen Hunt,Mad About You,Satellite,1999,"Best Actress in a Series, Comedy or Musical",0,22
Phylicia Rashad,Cosby,Satellite,1999,"Best Actress in a Series, Comedy or Musical",0,22
Jeri Ryan,Star Trek: Voyager,Satellite,1999,"Best Actress in a Series, Drama",1,22
Andrea Parker,The Pretender,Satellite,1999,"Best Actress in a Series, Drama",0,22
Gillian Anderson,The X-Files,Satellite,1999,"Best Actress in a Series, Drama",0,22
Rita Moreno,Oz,Satellite,1999,"Best Actress in a Series, Drama",0,22
Sharon Lawrence,NYPD Blue,Satellite,1999,"Best Actress in a Series, Drama",0,22
Rita Wilson,From the Earth to the Moon,Satellite,1999,Best Actress in a Supporting Role in a Miniseries or a Motion Picture Made for Television,1,22
Amy Madigan,A Bright Shining Lie,Satellite,1999,Best Actress in a Supporting Role in a Miniseries or a Motion Picture Made for Television,0,22
Faye Dunaway,Gia,Satellite,1999,Best Actress in a Supporting Role in a Miniseries or a Motion Picture Made for Television,0,22
Jackie Burroughs,More Tales of the City,Satellite,1999,Best Actress in a Supporting Role in a Miniseries or a Motion Picture Made for Television,0,22
Shirley Knight,The Wedding,Satellite,1999,Best Actress in a Supporting Role in a Miniseries or a Motion Picture Made for Television,0,22
Joan Allen,Pleasantville,Satellite,1999,"Best Actress in a Supporting Role in a Motion Picture, Comedy or Musical",1,22
Brenda Blethyn,Little Voice,Satellite,1999,"Best Actress in a Supporting Role in a Motion Picture, Comedy or Musical",0,22
Joan Plowright,Dance with Me,Satellite,1999,"Best Actress in a Supporting Role in a Motion Picture, Comedy or Musical",0,22
Julianne Moore,The Big Lebowski,Satellite,1999,"Best Actress in a Supporting Role in a Motion Picture, Comedy or Musical",0,22
Kathy Bates,Primary Colors,Satellite,1999,"Best Actress in a Supporting Role in a Motion Picture, Comedy or Musical",0,22
Kimberly Elise,Beloved,Satellite,1999,"Best Actress in a Supporting Role in a Motion Picture, Drama",1,22
Beverly D'Angelo,American History X,Satellite,1999,"Best Actress in a Supporting Role in a Motion Picture, Drama",0,22
Kathy Burke,Dancing at Lughnasa,Satellite,1999,"Best Actress in a Supporting Role in a Motion Picture, Drama",0,22
Lynn Redgrave,Gods and Monsters,Satellite,1999,"Best Actress in a Supporting Role in a Motion Picture, Drama",0,22
Thandie Newton,Beloved,Satellite,1999,"Best Actress in a Supporting Role in a Motion Picture, Drama",0,22
The Truman Show,Dennis Gassner,Satellite,1999,Best Art Direction,1,22
Beloved,Kristi Zea,Satellite,1999,Best Art Direction,0,22
Elizabeth,John Myhre,Satellite,1999,Best Art Direction,0,22
Pleasantville,Jeannine Oppewall,Satellite,1999,Best Art Direction,0,22
Shakespeare in Love,Martin Childs,Satellite,1999,Best Art Direction,0,22
The Thin Red Line,John Toll,Satellite,1999,Best Cinematography,1,22
Beloved,Tak Fujimoto,Satellite,1999,Best Cinematography,0,22
Pleasantville,John Lindley,Satellite,1999,Best Cinematography,0,22
Saving Private Ryan,Janusz Kaminski,Satellite,1999,Best Cinematography,0,22
Shakespeare in Love,Richard Greatrex,Satellite,1999,Best Cinematography,0,22
Elizabeth,Alexandra Byrne,Satellite,1999,Best Costume Design,1,22
Beloved,Colleen Atwood,Satellite,1999,Best Costume Design,0,22
Ever After: A Cinderella Story,Jenny Beavan,Satellite,1999,Best Costume Design,0,22
Pleasantville,Judianna Makovsky,Satellite,1999,Best Costume Design,0,22
Shakespeare in Love,Sandy Powell,Satellite,1999,Best Costume Design,0,22
Terrence Malick,The Thin Red Line,Satellite,1999,Best Director,1,22
Gary Ross,Pleasantville,Satellite,1999,Best Director,0,22
John Boorman,The General,Satellite,1999,Best Director,0,22
Shekhar Kapur,Elizabeth,Satellite,1999,Best Director,0,22
Steven Spielberg,Saving Private Ryan,Satellite,1999,Best Director,0,22
Saving Private Ryan,Michael Kahn,Satellite,1999,Best Film Editing,1,22
Beloved,"Andy Keir, Carol Littleton",Satellite,1999,Best Film Editing,0,22
Pleasantville,William Goldenberg,Satellite,1999,Best Film Editing,0,22
Shakespeare in Love,David Gamble,Satellite,1999,Best Film Editing,0,22
The Thin Red Line,Billy Weber,Satellite,1999,Best Film Editing,0,22
,,Satellite,1999,Best Home Entertainment Product/Game,1,22
Gran Turismo,,Satellite,1999,Best Home Entertainment Product/Game,0,22
Half-Life,,Satellite,1999,Best Home Entertainment Product/Game,0,22
Madden NFL 99,,Satellite,1999,Best Home Entertainment Product/Game,0,22
NBA Live 99,,Satellite,1999,Best Home Entertainment Product/Game,0,22
,,Satellite,1999,Best Interactive Product/CD-ROM Game,1,22
Baldur's Gate,,Satellite,1999,Best Interactive Product/CD-ROM Game,0,22
Heretic II,,Satellite,1999,Best Interactive Product/CD-ROM Game,0,22
Rainbow Six,,Satellite,1999,Best Interactive Product/CD-ROM Game,0,22
Unreal,,Satellite,1999,Best Interactive Product/CD-ROM Game,0,22
From the Earth to the Moon,,Satellite,1999,Best Miniseries or Motion Picture Made for Television,1,22
A Bright Shining Lie,,Satellite,1999,Best Miniseries or Motion Picture Made for Television,0,22
Gia,,Satellite,1999,Best Miniseries or Motion Picture Made for Television,0,22
